id,link,title,deadline,done,present_soon,grade,presenting_type,programming_language,sprint,comment
T55,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgd8800a7,Använda en utvecklingsmiljö på ett effektivt sätt,,false,false,3,Lab,C/Java,Sprint1,
T56,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgf1e44ec,Continuous Integration,,false,false,5,Lab,Git,Sprint1,
U57,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgcd9a1a0,Byggverktyget Make,,false,false,3,"Lab, Studium",C,Sprint2,
V58,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org5878382,Grundläggande terminalkommandon,,false,false,3,"Lab, Studium",Terminal,Sprint1,
X59,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgcf45958,Essä,"Dec 05, 2024",false,false,4,Special,Essä,Sprint1,Examineras via seminarium
X61,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org1db71ec,Running Group Meetings Responsibly,,false,false,3,Special,Essä,Unclear,Kom till möten
X62,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgfab8b7b,Kommunikation 1:1,"Dec 09, 2024",false,false,5,Special,C/Java,Sprint1,Lek TA
X63,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org2b17aed,Kommuniktion 1:M,"Sep 20, 2024",false,false,3,Special,Essä,Sprint1,Presentation till gruppen i forumet
Y60,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org44d2c87,Presentera projektet vid ett seminarium,"Jan 07, 2025",false,false,3,Special,C,Project,
Y64,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgcd50ba7,Använd en namngiven utvecklingsprocess och reflektera över utkomsten,,false,false,3,Report,C,Project,
Y65,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgfcced79,Skriv konsekvent bra kod,,false,false,3,Report,C,Project,
Y66,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgaf2ee5e,Tillämpa kodgranskning löpande,,false,false,3,Report,C,Project,
Y67,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org9423f97,Delta aktivt i ett programmeringsprojekt,,false,false,3,Report,C,Project,
Y68,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org0dbe28c,Redovisa en fungerande projektuppgift,,false,false,3,Report,C,Project,
Y69,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org288479c,Tillämpa testning under projektet,,false,false,3,Report,C,Project,
Z91,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org14ee6b8,Inlupp 1,"Oct 18, 2024",false,false,3,Lab,C,Sprint1,
Z92,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgf69508b,Inlupp 2,"Nov 08, 2024",false,false,3,Lab,C,Sprint2,
Z93,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#orgca4784f,Inlupp 3,"Nov 29, 2024",false,false,3,Lab,C,Sprint3,
Z94,https://uppsala.instructure.com/courses/97453/pages/achievements?module_item_id=1144272#org0040891,Inlupp 4,"Jan 09, 2025",false,false,4,Lab,C,Sprint4,
